date,title,type,url,source_org,status,notes
2026-07-23,"Industry loss-mitigation executive warns FHA and VA foreclosures could more than double by next fall; VA borrowers who defaulted at ~4% being modified to ~7.125%",Industry analysis,https://www.mpamag.com/us/mortgage-industry/market-updates/fha-and-va-foreclosures-could-more-than-double-by-next-fall-executive-predicts/583520,"Mortgage Professional America (Donna Schmidt, DLS Servicing)",verified,"Practitioner forecast, not a measured projection"
2026-07-16,"Take Care of America's Veterans Act (H.R. 9237) withdrawn from floor consideration after the motion to recommit failed 210-211 (roll call 249)",Congressional action,https://clerk.house.gov/Votes/2026249,"Office of the Clerk, U.S. House",verified,"Withdrawn from the floor; motion to recommit failed 210–211"
2026-07-16,"ATTOM mid-year report: 227,548 US properties with foreclosure filings in H1 2026, up 21% YoY and 28% above H1 2024",Market data,https://www.attomdata.com/news/market-trends/foreclosures/2026-mid-year-foreclosure-market-report/,ATTOM Data Solutions,verified,"Counts all residential property, not veteran households"
2026-07-14,"HVAC Economic Opportunity Subcommittee family-witness hearing cancelled (second time)",Hearing,URL pending,House Veterans' Affairs Committee,needs-url,"Cancelled twice (June 25 and July 14, 2026); no reschedule announced"
2026-06-25,"HVAC Economic Opportunity Subcommittee family-witness hearing cancelled (first time)",Hearing,URL pending,House Veterans' Affairs Committee,needs-url,"First of two cancellations"
2026-06-23,"House Rules Committee meeting on the Take Care of America's Veterans Act (H.R. 9237) (Ranking Member Takano remarks)",Congressional action,https://rules.house.gov/,U.S. House Rules Committee,verified,"Fullest public record of the cancellations; Takano confirmed the majority cancelled the subcommittee hearing"
2026-06-23,"Local broadcast coverage: VA home foreclosures surge; veterans urged to contact servicers early",Press coverage,https://www.wrdw.com/video/2026/06/23/va-home-foreclosures-surge-veterans-are-urged-call-servicers-early/,WRDW / WAGT 12 On Your Side,verified,""
2026-06-15,"VA launched the Partial Claim Program; stated it helped 173,000 avoid foreclosure in FY2025; servicer deadline Nov 28, 2026",Program event,https://news.va.gov/press-room/va-launches-partial-claim-program-to-help-veterans-avoid-home-foreclosure/,U.S. Dept. of Veterans Affairs,verified,"173,000 figure UNVERIFIED · HELD (C010); launch official, not operational"
2026-06-15,"NCLC: the VA must pause foreclosures until the new assistance program is actually accessible",Statement,https://www.nclc.org/va-must-pause-foreclosures-until-new-mortgage-assistance-program-is-accessible,National Consumer Law Center,verified,"Pause-until-operational demand"
2026-06-15,"Stars and Stripes: VA home loan refinancing fee would nearly triple under GOP-led bill, same day as the Partial Claim launch",Legislation,https://www.stripes.com/veterans/2026-06-15/va-home-loan-refinancing-fee-21976875.html,Stars and Stripes (Linda F. Hersey),verified,""
