claim_id,claim_text,source_id,content_label,definition,limitation,last_verified,pages
C001,"At least 15,000 veteran families have already been foreclosed on or displaced.",S001,DOCUMENTED FACT,Figure stated by Sen. Blumenthal at SVAC 5/20/26,Spring 2026 count; no newer figure published; true number likely higher (stale-stats rule),2026-07-15,home;current-status;evidence
C002,"More than 90,000 veteran homeowners are behind on their loans or in the foreclosure process.",S002,DOCUMENTED FACT,"NPR/ICE data 4/2/26; NCLC put ~31,500 in active foreclosure",Spring 2026; stale-stats rule applies,2026-07-15,home;current-status;evidence
C003,"About 160,000 veteran families are impacted in total.",S001;S002,DOCUMENTED FACT,Foreclosed + in the pipeline + forced into unaffordable modifications or short sales,Campaign-compiled sum of the three tiers; not an official single figure; never merge into one number,2026-07-15,home;current-status
C004,The permanent partial claim was scored as net savings; foreclosure is the more expensive option.,S005,DOCUMENTED FACT,$147 million in net savings over ten years (CBO; H. Rept. 119-104),CBO estimate over the ten-year scoring window,2026-07-22,policy;current-status
C005,"The average VA foreclosure loss is roughly $72,000 to $74,000.",S003;S004,DOCUMENTED FACT,"NCLC ~$72,000; CRL ~$74,000 (~$73,750 per disposition)",Cite whichever figure with its own source label; do not blend,2026-07-15,policy;current-status
C006,Congress granted permanent partial-claim authority and a directed waterfall; it did not write the exclusionary barriers.,S010;S013,DOCUMENTED FACT,"Active-default, current-servicer, and 3-month-trial requirements are VA design choices in M26-4 Ch.22",Codified cite verified: bill Sec. 3(h) = 38 U.S.C. § 3737(h). Confirm UPB/rate caps against M26-4 Ch.22,2026-07-15,policy
C007,CARES Act forbearance was universal; only VA borrowers lost their same-rate exit.,S014,DOCUMENTED FACT,Civilian comparison: FHA/Fannie/Freddie kept a permanent same-rate exit,Lead argument; confirm the FHA/GSE deferral-exit citation before for-the-record use,2026-07-15,current-status;policy
C008,Biden's VA ended the COVID partial claim in Oct 2022; Trump's VA killed VASP in May 2025.,S011,DOCUMENTED FACT,Two-administrations framing; VASP killed effective 5/1/25 on ~8 days notice,"Foreseeability, not intent; never assert intent to foreclose",2026-07-15,current-status;timeline;policy
C009,The VA takes about 75% of foreclosed veteran homes into its REO inventory.,S008,DOCUMENTED FACT,Auction.com data; +428% YoY auction supply,Industry data source; confirm current figure,2026-07-15,policy;evidence
C010,"The VA says it helped 173,000 veterans avoid foreclosure in FY2025.",S007,DOCUMENTED FACT,"VA's counter-number, stated in its own 6/15/26 launch press release","Verified that VA said it, not that 173,000 families kept their homes; lumps forbearances, higher-rate mods and short sales with retention; no bucket breakdown published",2026-07-25,home;data-methods;latest;policy
C011,"The partial claim is not actually available until servicers implement it, deadline Nov 28, 2026.",S006,DOCUMENTED FACT,"Two problems, prong 2: until a servicer publishes its own ETA, assume available nowhere","Available, not implemented",2026-07-15,current-status;watch
C012,The VA had separate authority all year to protect families immediately and chose not to use it.,S010;S013,DOCUMENTED FACT,Part 36 tools + Section 3(h); the exclusion of displaced families is reversible without new legislation,Preempts VA's 'our hands are tied' deflection,2026-07-15,policy;action
C013,CBO projected $294 million in avoided foreclosure-related payments.,S005,DOCUMENTED FACT,"Component of the fiscal case, H. Rept. 119-104",CBO estimate over the ten-year scoring window,2026-07-22,policy;current-status;evidence
C014,In November 2025 Congress expanded the Secretary's emergency authority to help veteran families before regulations issue.,S019,DOCUMENTED FACT,"Pub. L. 119-37 §7307(e) removed the requirement that a loan have been in default on the day H.R. 1815 was signed; Secretary may issue administrative guidance for the Partial Claim Program and required loss-mitigation options, including any additional terms the Secretary determines necessary (38 U.S.C. §3737(h) as amended; 139 Stat. 651)",Statutory text as amended,2026-07-22,policy
C015,The program running today operates under exactly this authority: VA's June 1 2026 handbook is pre-regulation guidance invoking the Secretary's §3737 discretion.,S013;S006,DOCUMENTED FACT,M26-4 Ch. 22 is pre-regulation guidance under §3737,"Agency guidance, pre-rulemaking",2026-07-22,policy
C016,"The Department cannot say it lacks authority to reach the families its eligibility barriers exclude; the barriers are handbook choices, reversible by the same pen that wrote them.",S010;S013,PROJECT ANALYSIS,"Authority exists, Congress broadened it, and VA is actively using it for everyone except the families already harmed",Interpretation grounded in statute and agency guidance cited,2026-07-22,policy
C017,"When VASP was cancelled, roughly 75,000 veteran borrowers were three or more payments behind; about 17,000 had been accepted into the program; 58,000+ had no path in.",S002;S020,DOCUMENTED FACT,"ICE Mortgage Technology via NPR 4/2/26 and CNN 4/30/25; only a servicer could submit a borrower, not the veteran","58,000+ is derived by subtraction (75,000 minus ~17,000 accepted); labeled derived",2026-07-23,timeline;current-status;the-script
C018,The partial-claim rule's only borrower-capacity test is whether the veteran can resume the scheduled monthly payment.,S021,DOCUMENTED FACT,38 C.F.R. section 36.4803(d); no resolved-hardship condition (that belongs to the modification rule),Rule text,2026-07-23,the-script
C019,Loan modifications require a resolved hardship and cap the rate at one percent above the existing rate absent prior VA approval.,S021,DOCUMENTED FACT,38 C.F.R. section 36.4315(a)(2) and (a)(8),Rule text,2026-07-23,the-script
C020,"Regulation X required servicers to evaluate a complete application against all options in 30 days, give a specific reason per denial, and not dual-track.",S022,DOCUMENTED FACT,"12 C.F.R. section 1024.41(c)(1),(d),(f),(g); Not Reviewed is not a specific reason","Rule text, binding 2022-2026",2026-07-23,the-script
C021,"VA has described its loss-mitigation options as a hierarchy for review, and paid servicer incentives on it, since 2008.",S021,DOCUMENTED FACT,38 C.F.R. section 36.4319(a),Rule text,2026-07-23,the-script
C022,VA built VALERI to determine servicer compliance and may inspect a servicer's complete delinquent-loan file on request.,S021,DOCUMENTED FACT,38 C.F.R. section 36.4350(j); M26-4 Ch. 5 section 5.11,Rule/handbook text,2026-07-23,the-script
C023,VA's April 2024 launch materials stated it had existing authority to establish VASP under 38 U.S.C. section 3732 and section 3720.,S023;S051,DOCUMENTED FACT,"Said twice in April 2024: launch materials, and on the record to HVAC 4/11/24 where Sec. McDonough described VASP as building on existing authority","Attribution: launched under Sec. McDonough, terminated 2025 under Sec. Collins; the existing-authority statement is the prior administration's",2026-07-25,the-script;policy
