source_id,title,publisher,url,pub_date,last_verified,type,status,status_display,note,archived_url
S001,"Sen. Blumenthal remarks, SVAC hearing (15,000+ figure)",U.S. Senate Veterans' Affairs Committee,https://www.veterans.senate.gov/2026/5/review-of-the-fiscal-year-2027-budget-and-2028-advance-appropriations-requests-for-the-department-of-veterans-affairs,2026-05-20,2026-07-22,hearing record,verified,verified,"Source for the 15,000+ figure (SVAC 5/20/26)",https://web.archive.org/web/20260608055206/https://www.veterans.senate.gov/2026/5/review-of-the-fiscal-year-2027-budget-and-2028-advance-appropriations-requests-for-the-department-of-veterans-affairs
S002,NPR VA foreclosure investigation (Arnold/Lawrence),NPR,https://www.npr.org/2026/04/02/nx-s1-5750814/veterans-mortgages-foreclosure-va-rescue,2026-04-02,2026-07-15,news,verified,verified,"90,000+ behind via ICE data",https://web.archive.org/web/20260715210434/https://www.npr.org/2026/04/02/nx-s1-5750814/veterans-mortgages-foreclosure-va-rescue
S003,NCLC analysis to HVAC EO Subcommittee (Cohen),National Consumer Law Center,https://www.nclc.org/wp-content/uploads/2026/03/HHRG-119-VR10-Wstate-CohenA-20260326.pdf,2026-03-26,2026-07-15,testimony/analysis,verified,VERIFIED,"~31,500 in active foreclosure; ~$72,000 average foreclosure loss",https://web.archive.org/web/20260616181737/https://www.nclc.org/house-veterans-affairs-subcommittee-to-discuss-lowering-housing-costs-for-veteran-families/
S004,Foreclosure-loss analysis,Center for Responsible Lending,https://www.responsiblelending.org/research-publication/recommendations-implementing-cost-effective-va-loss-mitigation-program,2025-12-19,2026-07-15,analysis,verified,verified,"~$74,000 (~$73,750 per disposition)",https://web.archive.org/web/20260419022834/https://www.responsiblelending.org/research-publication/recommendations-implementing-cost-effective-va-loss-mitigation-program
S005,"CBO score, H. Rept. 119-104 Sec. 3",Congressional Budget Office / U.S. House,https://www.cbo.gov/publication/61402,2025,2026-07-22,official,verified,verified,$147M net savings over ten years; CBO projected $294M in avoided foreclosure-related payments. Report: https://www.govinfo.gov/content/pkg/CRPT-119hrpt104/html/CRPT-119hrpt104.htm,https://web.archive.org/web/20250918203543/https://www.cbo.gov/publication/61402
S006,VA Partial Claim final policy,U.S. Dept. of Veterans Affairs,https://www.knowva.ebenefits.va.gov/system/templates/selfservice/va_ssnew/help/customer/locale/en-US/portal/554400000001018/topic/554400000027319/Transmittal,2026-06-01,2026-07-15,agency policy,verified,verified,Final policy published 6/1; launch 6/15; servicer deadline Nov 28 2026,https://web.archive.org/web/20260821235554/https://www.knowva.ebenefits.va.gov/system/templates/selfservice/va_ssnew/help/customer/locale/en-US/portal/554400000001018/topic/554400000027319/Transmittal
S007,"VA program-launch press release (173,000 avoided foreclosure FY2025)",U.S. Dept. of Veterans Affairs,https://news.va.gov/press-room/va-launches-partial-claim-program-to-help-veterans-avoid-home-foreclosure/,2026-06-15,2026-07-25,agency claim,verified,verified,"Verifies that VA said it, not that 173,000 families kept their homes; no bucket breakdown published. Use as VA's claim only.",https://web.archive.org/web/20260801105604/https://news.va.gov/press-room/va-launches-partial-claim-program-to-help-veterans-avoid-home-foreclosure/
S008,REO / auction supply data,Auction.com,https://www.housingwire.com/articles/auction-com-q2-2025-foreclosure-auction-volume-va-loan-moratorium-expires/,2025-07,2026-07-15,industry data,verified,verified,VA ~75% of foreclosed homes to REO; +428% YoY auction supply,https://web.archive.org/web/20250825201115/https://www.housingwire.com/articles/auction-com-q2-2025-foreclosure-auction-volume-va-loan-moratorium-expires/
S009,'Foreclosure. Period.' warning (Balce),Mortgage Bankers Association,https://www.mpamag.com/us/news/general/va-strips-away-veterans-foreclosure-protection-advocates-push-for-immediate-fix/534295,2025-03,2026-07-15,industry statement,verified,verified,Foreseeability: VA warned before killing VASP,https://web.archive.org/web/20250723093746/https://www.mpamag.com/us/news/general/va-strips-away-veterans-foreclosure-protection-advocates-push-for-immediate-fix/534295
S010,"H.R. 1815, VA Home Loan Program Reform Act - Pub. L. 119-31",Congress.gov,https://www.congress.gov/bill/119th-congress/house-bill/1815,2025-07-30,2026-08-28,statute,verified,verified,"Permanent partial-claim authority + directed waterfall; signed 7/30/25 VOTE RECORD READ 2026-08-28 from this bill's congress.gov actions page, in a browser because congress.gov refuses scripted fetches. House 2025-05-19: “On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote.” Senate 2025-07-15: “Passed Senate without amendment by Voice Vote”, its Veterans' Affairs Committee having been “discharged by Unanimous Consent”, which is the DISCHARGE and not the passage. NO ROLL CALL IN EITHER CHAMBER. The site previously said “unanimous in both chambers” and “Every Republican, every Democrat”; both were corrected 2026-08-28. A voice vote shows no recorded opposition, which is not the same as a counted unanimous vote.",https://web.archive.org/web/20260619113801/https://www.congress.gov/bill/119th-congress/house-bill/1815
