pr_id,group,strategy_code,heard,where,record_says,authority,receipt,say_back,if_again,status,last_verified,origin,anchor,notes
PR-01,A. Eligibility,R1 Tried-but-blocked,Why can’t you just start paying again?,servicer calls · VA higher-level-review responses · hearing testimony · comment sections,Being able to resume payments is the partial-claim test. An ongoing hardship is not.,"38 U.S.C. § 3737(a), three conditions: VA-guaranteed loan · primary residence · in default or at imminent risk of default. The same standard applied to the COVID-era program: 38 CFR § 36.4803(d) required that ""the veteran indicates that the veteran can resume making scheduled monthly payments, on time and in full."" Ability to resume the payment, not resolution of the hardship, in both programs, five years apart. MERGED FROM LIVE: the resolution-of-hardship condition belongs to the loan-modification rule, 38 C.F.R. § 36.4315(a)(2), not to the partial-claim rule.",receipts/3737h.png; receipts/ecfr-36-4803.png; receipts/36-4315a2.png; § 3737(a) beside § 36.4803(d),"""The partial claim exists for borrowers who can resume the regular payment but cannot cure the arrears, that’s the statutory test. I can resume the regular monthly payment. I’m asking for the arrears to be handled under the partial claim."" If you were told this, ask in writing which rule’s eligibility criteria were applied, and cite § 36.4803(d).",Request the denial in writing with the specific eligibility criterion cited. File CFPB attaching the written denial.,COMPLETE,2026-08-05,MERGE of PR-01 (draft 7/26) + R-01 (live),/rebuttals#PR-01,The two sources argue the same point from different regulations. Both authorities kept: the cross-program consistency argument and the wrong-rule argument are separately useful.
PR-02,A. Eligibility,R8 Name-the-omission,"""You don’t qualify, you’re already in foreclosure.""",servicer calls · loss-mitigation denials,"The statute makes loans in default eligible. The no-foreclosure bar is agency-added, not statutory.","§ 3737(a)(3) makes loans ""in default or at imminent risk of default"" eligible. The ""no pending/active foreclosure"" bar is M26-4 Ch. 22 § 22.02 a.5 (FINAL, June 1 2026), not in the statute.",§ 3737(a)(3) beside § 22.02 a.5,"""The statute makes loans in default eligible, that’s the whole point of the program. The bar you’re citing is in VA’s handbook, not the law. Please cite the statutory provision that disqualifies me.""","Put ""cite the statutory provision"" in writing to VA and to your congressional office. An unanswered request for a citation is itself a finding.",VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-02,"One of the seven VA-added gates. CORRECTED 2026-08-28 from “six” on Leann’s word: /record/policy/ states “Seven of the ten eligibility rules … appear nowhere in the law Congress passed” and names section 22.02, and the 2026-08-10 MASTER brief says seven. Six was the outlier and it was published at /data/."
PR-03,A. Eligibility,R1 Tried-but-blocked,"""You had a loan modification recently, so you’re locked out.""",servicer loss-mitigation reviews,"The 24-month modification lockout was written by the agency, not by Congress.","M26-4 Ch. 22 § 22.02 a.7 (FINAL, June 1 2026), not in § 3737. Verified: this criterion appears in the final chapter and not in the February 2026 draft. The draft instead required six payments since the most recent modification. The final replaced that with a flat 24-month lockout.","§ 22.02 a.7, final chapter","""That restriction isn’t in the statute. If a prior modification was itself unaffordable or improperly offered, please explain how it can now disqualify me from the remedy Congress created.""",Note the serial-modification trap in the CFPB complaint: a bad modification creating a 24-month lockout from the statutory remedy.,VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-03,"Pairs with PR-19, this is one of the two criteria added after the comment window closed."
PR-04,A. Eligibility,R1 Tried-but-blocked,"""You filed bankruptcy, so you’re not eligible.""",servicer loss-mitigation reviews,Congress wrote no bankruptcy bar. The agency did.,"M26-4 Ch. 22 § 22.02 a.4 (FINAL, June 1 2026), not in § 3737. Dismissed Ch. 7, dismissed or discharged Ch. 13, and discharged Ch. 7 with reaffirmation are carved out.",§ 22.02 a.4,"""Active bankruptcy isn’t a statutory disqualifier. If my case is dismissed or discharged, the handbook’s own carve-outs apply. Please state which subsection you’re relying on.""","This is the catch-22: bankruptcy is often the only emergency stay against eviction, and using it forecloses the loss-mitigation remedy. Document it for oversight.",VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-04,
PR-05,A. Eligibility,R4 One-to-many,"""The home isn’t in your name anymore.""",post-foreclosure · successor-in-interest situations · after divorce or a death,"The statute says ""the borrower."" The owner-of-record requirement is agency-added.","§ 3737(a)(2) refers to the borrower’s primary residence. ""Current legal owner of record"" and the successor-in-interest exclusion are M26-4 Ch. 22 § 22.02 a.8 (FINAL, June 1 2026), not in § 3737.",§ 22.02 a.8,"""The statute refers to the borrower. The owner-of-record condition comes from VA’s handbook. Please identify the statutory basis.""","This is a primary mechanism excluding already-foreclosed families. Raise it as an oversight item, not a servicer dispute, the servicer can’t waive it.",VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-05,Group 3 entry point: the already-displaced cohort.
PR-06,B. Loss mitigation and process,R8 Name-the-omission,"""You were offered help and you turned it down."" / ""They were offered help and refused it.""",VA response letters · servicer notes · press statements,Declining an unaffordable offer is not declining help.,"12 CFR § 1024.41 (RESPA / Reg X) loss-mitigation evaluation duties · 38 CFR § 36.4319. MERGED FROM LIVE: federal rules cap rate-raising modifications, 38 C.F.R. § 36.4315(a)(8), not more than one percentage point above the existing rate. In reported cohort cases the ""assistance"" offered was a modification that raised the interest rate several points, on fixed incomes, raising the payment by half or more.",receipts/1024-41d.png; receipts/36-4315a2.png; receipts/36-4315a8.png; § 1024.41 evaluation-duties screenshot,"""I didn’t decline assistance. I declined one offer that wasn’t affordable. Please send the written evaluation notice for every option I was evaluated for, and the reason each was denied."" Get every offer’s rate, payment, and denial reasons in writing; compare the new rate to your existing rate plus one point.",A denial with no per-option reason is itself a Reg X problem. Note it in the CFPB complaint.,COMPLETE,2026-08-05,MERGE of PR-06 (draft 7/26) + R-07 (live),/rebuttals#PR-06,"R-07 carried a BLANK strategy-code field in rebuttals.csv. That blank is the R-nn / R1-R8 collision Leann warned about on 7/26, visible in the data. Restored to R8 here."
PR-07,B. Loss mitigation and process,R8 Name-the-omission,"""We have no record of that at this address.""",servicer call centers · document-upload portals · written responses,"""No record at this address"" is not ""we didn’t receive it.""","12 CFR § 1024.41(b), written acknowledgement of a loss-mitigation application within 5 business days · § 1024.41(c), evaluation timeline. MERGED FROM LIVE: servicers keep a single designated address for formal error notices, 12 C.F.R. §§ 1024.35–.36, and a carefully worded ""no record at this address"" does not deny receiving the document through other active channels, including the federal loan technician.",receipts/1024-41c1.png; receipts/1024-41g.png; § 1024.41(b),"""Under RESPA, receipt of a loss-mitigation application triggers a written acknowledgement within five business days. Please send that acknowledgement, or confirm in writing that none was sent."" Send formal notices by certified mail to the designated address, and keep proof of every other channel. Both matter.",Send a Qualified Written Request for the full servicing file including the upload log. Non-response is a separate violation.,COMPLETE,2026-08-05,MERGE of PR-07 (draft 7/26) + R-08 (live),/rebuttals#PR-07,The live version is the stronger one: it explains WHY the phrasing is careful rather than only that it is.
PR-08,B. Loss mitigation and process,R2 Flip-the-villain,"""You’ll owe the whole forbearance amount in one lump sum.""",servicer calls during and after forbearance,"Federal guidance told servicers the opposite, in writing, from the start.","CARES Act forbearance fact sheet for FHA/VA/USDA servicers, repayment section · VA COVID-19 borrower guidance","the ""not a lump sum"" passage","""The federal guidance issued to servicers says forbearance amounts are repaid over time and a lump sum isn’t required. Please point to the document that says otherwise.""",Keep the recording or written statement. A lump-sum demand contradicting published guidance belongs in the CFPB complaint and the OIG supplement.,VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-08,
PR-09,B. Loss mitigation and process,R1 Tried-but-blocked,"""You should have known payments would balloon, you signed a disclosure."" / ""These families overextended themselves.""",servicer responses · agency correspondence · comment sections,The written guidance said the opposite. A disclosure cannot undo what the government told servicers to do. These are federally guaranteed loans.,"CARES Act § 4022 · federal servicer guidance on forbearance repayment, repayment section · 12 CFR § 1024.41",receipts/cares-fs-repayment.png; receipts/cares-fs-guidance.png,"""Please produce the specific disclosure you’re referring to, with my signature and its date. Then explain how it squares with the federal guidance stating repayment is over time and not a lump sum."" These are federally guaranteed loans. Federal agencies told servicers in writing that paused CARES Act payments would be repaid over time and that a lump sum would not be required. Ask which of those written instructions my servicer followed, and when.","Request the document. If it doesn’t exist, the request itself is the record.","COMPLETE, receipts placed in export",2026-08-05,MERGE of PR-09 (draft 7/26) + R-09 (live),/rebuttals#PR-09,"PR-09 carried a hold: confirm the exact fact-sheet sentence before publishing. The live R-09 receipts (cares-fs-repayment.png, cares-fs-guidance.png) appear to satisfy it. VERIFY BEFORE SHIP. | 2026-08-09: status corrected. cares-fs-repayment.png and cares-fs-guidance.png ARE present in site/receipts/ in the 8/7 export. The ""not yet placed"" status was stale. The open part is confirming the exact fact-sheet sentence, not locating the image."
PR-10,C. Authority and the agency’s own numbers,R7 Concede-and-turn,"""VA’s hands are tied, it isn’t statutory.""",agency testimony · constituent-services replies · committee correspondence,Congress wrote the authority. The exclusions were written by the agency.,"38 U.S.C. § 3737(h): ""Notwithstanding any other provision of law, the Secretary may, before prescribing regulations, issue administrative guidance … including any additional terms, conditions, and requirements the Secretary determines necessary."" Also M26-4 Ch. 22: ""Nothing in this handbook is intended to limit the Secretary’s discretion Congress provided under 38 U.S.C. § 3737.""",receipts/3737h.png; § 3737(h) full text beside the handbook sentence,"""The authority to act exists and Congress specifically authorized acting before the regulations were finished. Which statutory provision prohibits the relief being requested? Please cite it.""",Put the citation request in writing to the committee of jurisdiction.,VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-10,"Highest-value entry on the page. Pairs with PR-27. PR-10 is the authority argument, PR-27 is the precedent that VA already used it."
